temperature,humidity,wind_speed,rainfall,time_of_day,crop_type,disease_type,label
26.4,70.6,6.1,0.0,Evening,Tomato,Target Spot,Good
21.3,76.4,3.8,0.0,Evening,Tomato,Target Spot,Good
20.7,73.0,2.6,0.0,Morning,Tomato,Target Spot,Good
31.1,61.4,4.6,0.0,Morning,Tomato,Target Spot,Good
23.2,58.8,8.8,0.0,Morning,Tomato,Target Spot,Good
26.8,71.9,6.1,0.0,Morning,Tomato,Target Spot,Good
30.5,60.4,9.7,0.0,Evening,Tomato,Target Spot,Good
27.1,78.0,5.8,0.0,Morning,Tomato,Target Spot,Good
29.0,53.1,6.0,0.0,Morning,Tomato,Target Spot,Good
29.7,60.9,8.2,0.0,Evening,Tomato,Target Spot,Good
30.3,74.2,9.7,0.0,Morning,Tomato,Target Spot,Good
31.8,66.8,8.7,0.0,Morning,Tomato,Target Spot,Good
26.6,71.4,8.6,0.0,Morning,Tomato,Target Spot,Good
24.8,63.3,2.4,0.0,Evening,Tomato,Target Spot,Good
22.5,72.2,4.6,0.0,Evening,Tomato,Target Spot,Good
24.6,53.2,3.0,0.0,Evening,Tomato,Target Spot,Good
25.2,78.8,6.2,0.0,Evening,Tomato,Target Spot,Good
30.7,54.8,6.7,0.0,Evening,Tomato,Target Spot,Good
20.6,65.6,9.8,0.0,Morning,Tomato,Target Spot,Good
25.8,79.3,3.3,0.0,Evening,Tomato,Target Spot,Good
28.4,69.3,7.8,0.0,Morning,Tomato,Target Spot,Good
29.0,70.9,4.2,0.0,Evening,Tomato,Target Spot,Good
22.3,77.0,4.8,0.0,Morning,Tomato,Target Spot,Good
21.1,60.3,5.2,0.0,Evening,Tomato,Target Spot,Good
30.6,71.9,2.5,0.0,Evening,Tomato,Target Spot,Good
29.5,75.9,9.3,0.0,Morning,Tomato,Target Spot,Good
27.1,69.0,6.7,0.0,Morning,Tomato,Target Spot,Good
25.2,69.1,5.1,0.0,Morning,Tomato,Target Spot,Good
20.3,59.7,2.5,0.0,Evening,Tomato,Target Spot,Good
23.4,68.6,8.4,0.0,Morning,Tomato,Target Spot,Good
25.3,78.7,5.6,0.0,Morning,Tomato,Target Spot,Good
25.5,73.5,7.4,0.0,Evening,Tomato,Target Spot,Good
22.1,52.2,9.8,0.0,Morning,Tomato,Target Spot,Good
22.8,65.3,4.9,0.0,Morning,Tomato,Target Spot,Good
31.6,58.0,4.6,0.0,Evening,Tomato,Target Spot,Good
24.0,52.6,5.6,0.0,Morning,Tomato,Target Spot,Good
31.4,65.6,6.1,0.0,Morning,Tomato,Target Spot,Good
26.5,77.9,5.2,0.0,Evening,Tomato,Target Spot,Good
25.5,52.5,3.6,0.0,Evening,Tomato,Target Spot,Good
24.1,52.8,3.8,0.0,Evening,Tomato,Target Spot,Good
29.6,59.1,2.3,0.0,Evening,Tomato,Target Spot,Good
25.7,64.0,8.3,0.0,Morning,Tomato,Target Spot,Good
28.9,78.6,4.8,0.0,Morning,Tomato,Target Spot,Good
23.3,53.4,3.0,0.0,Morning,Tomato,Target Spot,Good
21.5,67.4,7.6,0.0,Morning,Tomato,Target Spot,Good
24.6,65.1,3.2,0.0,Evening,Tomato,Target Spot,Good
23.4,60.3,6.5,0.0,Evening,Tomato,Target Spot,Good
24.8,78.8,8.1,0.0,Evening,Tomato,Target Spot,Good
22.7,51.5,2.8,0.0,Evening,Tomato,Target Spot,Good
25.4,52.5,5.7,0.0,Morning,Tomato,Target Spot,Good
23.7,61.5,9.6,0.0,Evening,Tomato,Target Spot,Good
23.8,60.9,5.4,0.0,Evening,Tomato,Target Spot,Good
24.3,51.9,8.5,0.0,Evening,Tomato,Target Spot,Good
20.5,71.2,4.6,0.0,Morning,Tomato,Target Spot,Good
31.5,58.6,2.7,0.0,Morning,Tomato,Target Spot,Good
26.5,61.1,3.3,0.0,Morning,Tomato,Target Spot,Good
29.0,74.3,3.7,0.0,Morning,Tomato,Target Spot,Good
27.0,74.4,3.1,0.0,Morning,Tomato,Target Spot,Good
24.7,69.5,6.5,0.0,Morning,Tomato,Target Spot,Good
23.9,71.7,6.0,0.0,Evening,Tomato,Target Spot,Good
31.5,65.5,9.9,0.0,Morning,Tomato,Target Spot,Good
24.1,55.1,4.7,0.0,Morning,Tomato,Target Spot,Good
24.3,77.6,3.8,0.0,Morning,Tomato,Target Spot,Good
29.5,69.0,7.5,0.0,Morning,Tomato,Target Spot,Good
21.4,55.6,3.3,0.0,Morning,Tomato,Target Spot,Good
30.4,68.1,4.7,0.0,Evening,Tomato,Target Spot,Good
26.2,66.3,9.1,0.0,Evening,Tomato,Target Spot,Good
23.1,62.3,4.6,0.0,Evening,Tomato,Target Spot,Good
30.2,62.4,2.4,0.0,Morning,Tomato,Target Spot,Good
31.8,67.8,9.6,0.0,Evening,Tomato,Target Spot,Good
20.5,70.4,9.0,0.0,Evening,Tomato,Target Spot,Good
20.9,63.3,6.1,0.0,Morning,Tomato,Target Spot,Good
28.9,61.7,6.0,0.0,Evening,Tomato,Target Spot,Good
21.9,52.9,7.3,0.0,Evening,Tomato,Target Spot,Good
29.0,62.4,7.4,0.0,Evening,Tomato,Target Spot,Good
27.0,52.8,8.1,0.0,Morning,Tomato,Target Spot,Good
23.9,66.9,9.1,0.0,Evening,Tomato,Target Spot,Good
21.4,57.7,7.2,0.0,Morning,Tomato,Target Spot,Good
25.0,65.4,4.7,0.0,Evening,Tomato,Target Spot,Good
28.4,57.0,7.8,0.0,Evening,Tomato,Target Spot,Good
22.6,60.2,2.8,0.0,Evening,Tomato,Target Spot,Good
28.8,58.4,5.2,0.0,Evening,Tomato,Target Spot,Good
23.8,55.9,9.3,0.0,Evening,Tomato,Target Spot,Good
21.3,61.0,5.3,0.0,Evening,Tomato,Target Spot,Good
21.9,73.9,8.6,0.0,Evening,Tomato,Target Spot,Good
23.7,57.3,8.3,0.0,Morning,Tomato,Target Spot,Good
30.7,52.4,6.9,0.0,Morning,Tomato,Target Spot,Good
24.6,50.4,5.0,0.0,Morning,Tomato,Target Spot,Good
29.2,66.5,2.2,0.0,Evening,Tomato,Target Spot,Good
28.0,60.8,5.5,0.0,Morning,Tomato,Target Spot,Good
27.1,68.0,7.2,0.0,Evening,Tomato,Target Spot,Good
20.9,69.3,4.0,0.0,Morning,Tomato,Target Spot,Good
24.8,54.8,4.1,0.0,Morning,Tomato,Target Spot,Good
24.2,78.0,6.4,0.0,Evening,Tomato,Target Spot,Good
25.6,74.5,3.4,0.0,Evening,Tomato,Target Spot,Good
30.4,71.7,4.4,0.0,Morning,Tomato,Target Spot,Good
24.1,57.6,2.7,0.0,Evening,Tomato,Target Spot,Good
31.3,56.8,3.5,0.0,Morning,Tomato,Target Spot,Good
21.8,62.1,2.1,0.0,Morning,Tomato,Target Spot,Good
23.5,58.7,5.4,0.0,Evening,Tomato,Target Spot,Good
21.4,79.7,8.9,0.0,Morning,Tomato,Target Spot,Good
30.2,52.0,5.9,0.0,Evening,Tomato,Target Spot,Good
28.0,76.3,3.1,0.0,Morning,Tomato,Target Spot,Good
26.9,57.3,7.1,0.0,Morning,Tomato,Target Spot,Good
25.7,62.3,9.0,0.0,Evening,Tomato,Target Spot,Good
24.1,52.6,6.4,0.0,Morning,Tomato,Target Spot,Good
22.2,61.1,7.5,0.0,Morning,Tomato,Target Spot,Good
21.2,67.4,7.1,0.0,Evening,Tomato,Target Spot,Good
22.8,66.0,7.0,0.0,Evening,Tomato,Target Spot,Good
27.1,61.5,7.5,0.0,Evening,Tomato,Target Spot,Good
21.8,58.6,2.5,0.0,Evening,Tomato,Target Spot,Good
22.1,66.3,6.6,0.0,Evening,Tomato,Target Spot,Good
30.9,56.8,7.4,0.0,Morning,Tomato,Target Spot,Good
28.1,61.5,9.6,0.0,Evening,Tomato,Target Spot,Good
30.2,78.4,9.7,0.0,Morning,Tomato,Target Spot,Good
29.7,72.6,4.3,0.0,Evening,Tomato,Target Spot,Good
28.2,52.4,9.7,0.0,Morning,Tomato,Target Spot,Good
28.6,75.5,8.1,0.0,Morning,Tomato,Target Spot,Good
22.2,57.1,2.8,0.0,Evening,Tomato,Target Spot,Good
25.9,72.1,9.2,0.0,Morning,Tomato,Target Spot,Good
29.0,60.0,2.8,0.0,Morning,Tomato,Target Spot,Good
30.9,63.1,4.9,0.0,Morning,Tomato,Target Spot,Good
30.8,63.7,6.3,0.0,Morning,Tomato,Target Spot,Good
23.8,70.2,5.1,0.0,Morning,Tomato,Target Spot,Good
24.1,56.9,3.1,0.0,Evening,Tomato,Target Spot,Good
22.0,76.5,6.1,0.0,Evening,Tomato,Target Spot,Good
30.8,64.7,7.9,0.0,Evening,Tomato,Target Spot,Good
21.3,56.9,6.0,0.0,Morning,Tomato,Target Spot,Good
28.3,77.9,8.0,0.0,Evening,Tomato,Target Spot,Good
22.1,59.6,6.3,0.0,Evening,Tomato,Target Spot,Good
26.8,61.7,3.6,0.0,Evening,Tomato,Target Spot,Good
20.0,70.7,5.5,0.0,Evening,Tomato,Target Spot,Good
29.5,70.7,8.0,0.0,Evening,Tomato,Target Spot,Good
31.6,52.8,8.9,0.0,Evening,Tomato,Target Spot,Good
25.2,72.4,3.3,0.0,Evening,Tomato,Target Spot,Good
31.7,60.8,8.3,0.0,Morning,Tomato,Target Spot,Good
28.2,61.9,7.7,0.0,Evening,Tomato,Target Spot,Good
29.5,59.1,9.9,0.0,Evening,Tomato,Target Spot,Good
30.6,64.0,4.9,0.0,Evening,Tomato,Target Spot,Good
20.4,74.6,5.2,0.0,Evening,Tomato,Target Spot,Good
29.9,53.8,7.5,0.0,Morning,Tomato,Target Spot,Good
29.9,52.6,8.7,0.0,Morning,Tomato,Target Spot,Good
30.1,63.8,9.5,0.0,Evening,Tomato,Target Spot,Good
22.8,51.6,5.6,0.0,Evening,Tomato,Target Spot,Good
31.3,69.2,7.8,0.0,Morning,Tomato,Target Spot,Good
23.1,63.0,6.4,0.0,Morning,Tomato,Target Spot,Good
26.2,56.4,7.3,0.0,Morning,Tomato,Target Spot,Good
27.0,57.9,5.0,0.0,Evening,Tomato,Target Spot,Good
27.7,53.4,8.4,0.0,Morning,Tomato,Target Spot,Good
20.4,74.4,2.2,0.0,Evening,Tomato,Target Spot,Good
26.8,68.9,8.8,0.0,Morning,Tomato,Target Spot,Good
31.8,63.6,8.3,0.0,Evening,Tomato,Target Spot,Good
29.1,71.3,6.6,0.0,Evening,Tomato,Target Spot,Good
23.0,65.3,6.0,0.0,Morning,Tomato,Target Spot,Good
23.2,68.9,5.4,0.0,Morning,Tomato,Target Spot,Good
28.9,79.1,3.8,0.0,Evening,Tomato,Target Spot,Good
27.2,63.0,2.7,0.0,Morning,Tomato,Target Spot,Good
24.9,74.8,4.9,0.0,Morning,Tomato,Target Spot,Good
24.3,54.6,2.5,0.0,Morning,Tomato,Target Spot,Good
31.5,64.3,8.2,0.0,Morning,Tomato,Target Spot,Good
31.1,74.4,6.2,0.0,Evening,Tomato,Target Spot,Good
23.1,64.5,2.1,0.0,Morning,Tomato,Target Spot,Good
31.8,71.2,7.6,0.0,Morning,Tomato,Target Spot,Good
25.2,64.6,9.0,0.0,Morning,Tomato,Target Spot,Good
26.6,57.4,4.5,0.0,Evening,Tomato,Target Spot,Good
29.3,68.8,6.6,0.0,Morning,Tomato,Target Spot,Good
23.7,58.2,2.4,0.0,Evening,Tomato,Target Spot,Good
25.3,77.6,9.6,0.0,Morning,Tomato,Target Spot,Good
28.5,57.0,7.7,0.0,Morning,Tomato,Target Spot,Good
26.1,54.7,6.6,0.0,Evening,Tomato,Target Spot,Good
30.8,73.3,3.3,0.0,Morning,Tomato,Target Spot,Good
20.1,60.6,8.6,0.0,Evening,Tomato,Target Spot,Good
24.6,64.1,4.9,0.0,Morning,Tomato,Target Spot,Good
22.2,50.8,6.2,0.0,Evening,Tomato,Target Spot,Good
22.1,61.1,5.8,0.0,Evening,Tomato,Target Spot,Good
22.8,72.6,9.8,0.0,Morning,Tomato,Target Spot,Good
23.4,68.7,2.5,0.0,Evening,Tomato,Target Spot,Good
24.4,77.1,7.7,0.0,Morning,Tomato,Target Spot,Good
24.1,69.8,7.5,0.0,Evening,Tomato,Target Spot,Good
26.5,72.6,5.7,0.0,Morning,Tomato,Target Spot,Good
27.8,78.7,9.8,0.0,Morning,Tomato,Target Spot,Good
26.2,67.7,2.6,0.0,Evening,Tomato,Target Spot,Good
25.3,67.2,6.8,0.0,Evening,Tomato,Target Spot,Good
27.0,71.3,5.5,0.0,Morning,Tomato,Target Spot,Good
30.7,78.6,3.8,0.0,Morning,Tomato,Target Spot,Good
23.8,77.7,7.5,0.0,Evening,Tomato,Target Spot,Good
30.9,75.3,4.3,0.0,Morning,Tomato,Target Spot,Good
21.8,78.2,5.1,0.0,Evening,Tomato,Target Spot,Good
21.5,79.9,9.0,0.0,Morning,Tomato,Target Spot,Good
28.0,60.0,2.1,0.0,Morning,Tomato,Target Spot,Good
28.9,73.5,6.6,0.0,Evening,Tomato,Target Spot,Good
21.3,68.7,3.7,0.0,Evening,Tomato,Target Spot,Good
22.0,54.1,8.9,0.0,Evening,Tomato,Target Spot,Good
21.8,78.0,5.6,0.0,Morning,Tomato,Target Spot,Good
20.8,59.0,7.4,0.0,Morning,Tomato,Target Spot,Good
31.6,66.5,8.4,0.0,Morning,Tomato,Target Spot,Good
25.2,69.0,6.3,0.0,Evening,Tomato,Target Spot,Good
28.4,73.6,7.8,0.0,Evening,Tomato,Target Spot,Good
20.8,55.6,7.8,0.0,Evening,Tomato,Target Spot,Good
27.2,50.6,5.2,0.0,Evening,Tomato,Target Spot,Good
22.1,78.5,7.8,0.0,Evening,Tomato,Target Spot,Good
29.6,66.4,3.8,0.0,Evening,Tomato,Target Spot,Good
20.5,79.2,3.3,0.0,Morning,Tomato,Target Spot,Good
30.8,70.5,6.8,0.0,Morning,Tomato,Target Spot,Good
22.2,64.1,7.0,0.0,Morning,Tomato,Target Spot,Good
31.2,69.6,9.1,0.0,Evening,Tomato,Target Spot,Good
23.1,52.5,5.6,0.0,Morning,Tomato,Target Spot,Good
23.9,74.2,6.6,0.0,Morning,Tomato,Target Spot,Good
27.5,52.8,8.5,0.0,Morning,Tomato,Target Spot,Good
20.6,61.1,6.1,0.0,Morning,Tomato,Target Spot,Good
23.8,70.2,9.3,0.0,Evening,Tomato,Target Spot,Good
31.0,65.9,2.9,0.0,Evening,Tomato,Target Spot,Good
26.6,53.3,5.9,0.0,Evening,Tomato,Target Spot,Good
29.4,59.1,5.2,0.0,Morning,Tomato,Target Spot,Good
26.1,63.1,9.8,0.0,Evening,Tomato,Target Spot,Good
29.3,59.4,6.3,0.0,Evening,Tomato,Target Spot,Good
20.9,75.4,9.7,0.0,Evening,Tomato,Target Spot,Good
21.4,71.4,8.0,0.0,Evening,Tomato,Target Spot,Good
31.3,55.3,5.2,0.0,Evening,Tomato,Target Spot,Good
21.5,56.1,9.0,0.0,Evening,Tomato,Target Spot,Good
25.9,61.9,9.6,0.0,Morning,Tomato,Target Spot,Good
20.4,63.9,4.4,0.0,Morning,Tomato,Target Spot,Good
24.6,62.1,4.2,0.0,Evening,Tomato,Target Spot,Good
25.5,66.7,7.6,0.0,Morning,Tomato,Target Spot,Good
31.5,72.7,3.5,0.0,Morning,Tomato,Target Spot,Good
25.1,68.0,7.2,0.0,Evening,Tomato,Target Spot,Good
23.8,59.9,8.5,0.0,Morning,Tomato,Target Spot,Good
27.6,64.5,6.4,0.0,Morning,Tomato,Target Spot,Good
31.4,79.5,2.4,0.0,Morning,Tomato,Target Spot,Good
28.9,50.8,4.2,0.0,Evening,Tomato,Target Spot,Good
20.0,54.4,4.2,0.0,Evening,Tomato,Target Spot,Good
30.8,72.7,3.1,0.0,Evening,Tomato,Target Spot,Good
26.2,53.7,7.9,0.0,Evening,Tomato,Target Spot,Good
27.2,78.2,8.4,0.0,Morning,Tomato,Target Spot,Good
29.3,58.9,8.0,0.0,Morning,Tomato,Target Spot,Good
27.6,71.7,7.7,0.0,Evening,Tomato,Target Spot,Good
29.8,62.6,4.9,0.0,Evening,Tomato,Target Spot,Good
24.7,50.9,2.4,0.0,Evening,Tomato,Target Spot,Good
25.8,76.1,4.4,0.0,Evening,Tomato,Target Spot,Good
20.8,70.5,4.5,0.0,Evening,Tomato,Target Spot,Good
22.9,58.9,3.1,0.0,Evening,Tomato,Target Spot,Good
21.8,52.6,2.0,0.0,Morning,Tomato,Target Spot,Good
23.4,78.9,7.8,0.0,Morning,Tomato,Target Spot,Good
25.8,69.5,2.4,0.0,Evening,Tomato,Target Spot,Good
26.9,67.0,7.4,0.0,Morning,Tomato,Target Spot,Good
29.3,64.0,2.2,0.0,Evening,Tomato,Target Spot,Good
27.7,72.6,6.3,0.0,Morning,Tomato,Target Spot,Good
26.4,76.3,6.9,0.0,Evening,Tomato,Target Spot,Good
28.2,61.4,7.3,0.0,Morning,Tomato,Target Spot,Good
21.4,78.4,9.2,0.0,Morning,Tomato,Target Spot,Good
30.8,50.1,4.5,0.0,Morning,Tomato,Target Spot,Good
25.9,77.7,7.9,0.0,Morning,Tomato,Target Spot,Good
20.2,72.2,8.0,0.0,Evening,Tomato,Target Spot,Good
20.2,54.5,7.1,0.0,Evening,Tomato,Target Spot,Good
28.3,70.6,3.5,0.0,Evening,Tomato,Target Spot,Good
27.4,67.7,8.2,0.0,Morning,Tomato,Target Spot,Good
28.7,59.2,2.7,0.0,Morning,Tomato,Target Spot,Good
27.6,71.4,7.1,0.0,Morning,Tomato,Target Spot,Good
21.9,57.6,2.2,0.0,Evening,Tomato,Target Spot,Good
22.4,54.5,9.4,0.0,Morning,Tomato,Target Spot,Good
24.5,62.2,5.4,0.0,Morning,Tomato,Target Spot,Good
28.3,61.8,8.5,0.0,Evening,Tomato,Target Spot,Good
25.6,76.0,7.3,0.0,Morning,Tomato,Target Spot,Good
23.3,77.5,6.6,0.0,Morning,Tomato,Target Spot,Good
21.6,71.2,6.1,0.0,Evening,Tomato,Target Spot,Good
24.3,78.9,9.9,0.0,Morning,Tomato,Target Spot,Good
28.1,60.1,7.1,0.0,Evening,Tomato,Target Spot,Good
24.6,79.1,5.1,0.0,Morning,Tomato,Target Spot,Good
22.2,64.3,2.3,0.0,Morning,Tomato,Target Spot,Good
26.1,63.4,4.9,0.0,Evening,Tomato,Target Spot,Good
29.0,61.0,6.5,0.0,Morning,Tomato,Target Spot,Good
29.9,66.1,2.5,0.0,Morning,Tomato,Target Spot,Good
22.3,68.2,6.7,0.0,Morning,Tomato,Target Spot,Good
28.0,74.0,7.7,0.0,Morning,Tomato,Target Spot,Good
21.4,64.2,2.7,0.0,Morning,Tomato,Target Spot,Good
27.0,57.8,3.5,0.0,Morning,Tomato,Target Spot,Good
20.1,65.5,5.7,0.0,Evening,Tomato,Target Spot,Good
20.0,75.5,4.2,0.0,Morning,Tomato,Target Spot,Good
25.8,75.2,4.2,0.0,Morning,Tomato,Target Spot,Good
27.9,53.6,9.3,0.0,Evening,Tomato,Target Spot,Good
31.5,78.7,2.4,0.0,Evening,Tomato,Target Spot,Good
26.3,58.0,3.0,0.0,Evening,Tomato,Target Spot,Good
30.4,51.3,2.2,0.0,Evening,Tomato,Target Spot,Good
22.1,76.1,7.4,0.0,Morning,Tomato,Target Spot,Good
24.7,66.2,6.8,0.0,Evening,Tomato,Target Spot,Good
31.1,56.0,7.0,0.0,Morning,Tomato,Target Spot,Good
23.1,69.5,7.7,0.0,Morning,Tomato,Target Spot,Good
27.8,68.2,6.1,0.0,Evening,Tomato,Target Spot,Good
28.3,78.1,3.8,0.0,Evening,Tomato,Target Spot,Good
21.3,53.4,4.9,0.0,Evening,Tomato,Target Spot,Good
29.9,75.8,5.9,0.0,Evening,Tomato,Target Spot,Good
24.3,56.5,3.5,0.0,Morning,Tomato,Target Spot,Good
25.7,55.9,2.0,0.0,Morning,Tomato,Target Spot,Good
31.4,55.1,6.9,0.0,Morning,Tomato,Target Spot,Good
23.6,60.2,5.7,0.0,Morning,Tomato,Target Spot,Good
23.7,71.9,5.9,0.0,Morning,Tomato,Target Spot,Good
27.7,60.0,2.9,0.0,Evening,Tomato,Target Spot,Good
20.4,72.3,2.7,0.0,Morning,Tomato,Target Spot,Good
29.9,57.3,9.1,0.0,Evening,Tomato,Target Spot,Good
20.9,53.7,7.1,0.0,Evening,Tomato,Target Spot,Good
30.9,66.8,7.7,0.0,Morning,Tomato,Target Spot,Good
29.3,59.9,5.8,0.0,Morning,Tomato,Target Spot,Good
29.3,74.6,5.7,0.0,Morning,Tomato,Target Spot,Good
21.4,51.2,8.0,0.0,Evening,Tomato,Target Spot,Good
24.0,76.2,3.6,0.0,Morning,Tomato,Target Spot,Good
29.7,76.8,3.3,0.0,Morning,Tomato,Target Spot,Good
27.0,53.6,3.7,0.0,Evening,Tomato,Target Spot,Good
23.1,74.5,4.9,0.0,Morning,Tomato,Target Spot,Good
20.8,60.7,9.8,0.0,Evening,Tomato,Target Spot,Good
22.0,65.7,6.6,0.0,Evening,Tomato,Target Spot,Good
26.6,54.9,6.3,0.0,Evening,Tomato,Target Spot,Good
21.6,70.0,2.9,0.0,Evening,Tomato,Target Spot,Good
21.2,66.1,4.7,0.0,Evening,Tomato,Target Spot,Good
27.3,80.0,2.1,0.0,Morning,Tomato,Target Spot,Good
29.7,63.9,2.6,0.0,Evening,Tomato,Target Spot,Good
30.9,50.4,8.4,0.0,Evening,Tomato,Target Spot,Good
31.0,51.0,7.3,0.0,Evening,Tomato,Target Spot,Good
22.7,71.5,8.4,0.0,Evening,Tomato,Target Spot,Good
29.2,55.5,5.6,0.0,Morning,Tomato,Target Spot,Good
22.7,78.1,5.2,0.0,Evening,Tomato,Target Spot,Good
31.3,69.3,7.2,0.0,Evening,Tomato,Target Spot,Good
25.8,59.0,3.7,0.0,Morning,Tomato,Target Spot,Good
23.2,57.5,3.9,0.0,Evening,Tomato,Target Spot,Good
20.1,61.4,4.2,0.0,Morning,Tomato,Target Spot,Good
21.5,71.8,4.6,0.0,Morning,Tomato,Target Spot,Good
27.8,52.0,6.8,0.0,Morning,Tomato,Target Spot,Good
24.7,60.5,8.0,0.0,Evening,Tomato,Target Spot,Good
27.0,55.5,3.3,0.0,Evening,Tomato,Target Spot,Good
21.8,74.6,6.3,0.0,Morning,Tomato,Target Spot,Good
21.8,67.8,8.8,0.0,Evening,Tomato,Target Spot,Good
21.4,72.8,9.2,0.0,Evening,Tomato,Target Spot,Good
24.6,53.1,3.2,0.0,Evening,Tomato,Target Spot,Good
26.6,52.0,5.0,0.0,Morning,Tomato,Target Spot,Good
20.3,51.4,3.5,0.0,Evening,Tomato,Target Spot,Good
21.4,52.3,7.6,0.0,Evening,Tomato,Target Spot,Good
20.4,75.8,7.8,0.0,Morning,Tomato,Target Spot,Good
29.3,79.3,7.3,0.0,Evening,Tomato,Target Spot,Good
26.0,77.8,9.6,0.0,Evening,Tomato,Target Spot,Good
27.2,64.2,2.7,0.0,Morning,Tomato,Target Spot,Good
27.1,54.4,8.5,0.0,Evening,Tomato,Target Spot,Good
31.1,68.4,3.6,0.0,Evening,Tomato,Target Spot,Good
21.8,58.5,7.8,0.0,Morning,Tomato,Target Spot,Good
31.9,76.7,4.6,0.0,Morning,Tomato,Target Spot,Good
27.2,51.7,7.1,0.0,Morning,Tomato,Target Spot,Good
27.8,56.5,9.1,0.0,Morning,Tomato,Target Spot,Good
22.7,55.7,8.0,0.0,Evening,Tomato,Target Spot,Good
20.9,75.7,7.8,0.0,Morning,Tomato,Target Spot,Good
21.0,50.2,6.4,0.0,Evening,Tomato,Target Spot,Good
30.0,59.1,7.2,0.0,Evening,Tomato,Target Spot,Good
31.9,66.8,9.2,0.0,Evening,Tomato,Target Spot,Good
22.8,56.2,3.6,0.0,Evening,Tomato,Target Spot,Good
31.5,62.7,4.6,0.0,Evening,Tomato,Target Spot,Good
30.0,65.7,5.7,0.0,Morning,Tomato,Target Spot,Good
21.3,73.1,4.0,0.0,Morning,Tomato,Target Spot,Good
28.4,60.8,4.5,0.0,Morning,Tomato,Target Spot,Good
20.1,79.5,4.6,0.0,Evening,Tomato,Target Spot,Good
28.7,53.6,2.5,0.0,Evening,Tomato,Target Spot,Good
21.2,61.7,6.8,0.0,Morning,Tomato,Target Spot,Good
29.4,57.1,3.2,0.0,Evening,Tomato,Target Spot,Good
22.7,55.6,2.8,0.0,Evening,Tomato,Target Spot,Good
24.2,58.1,8.3,0.0,Evening,Tomato,Target Spot,Good
24.3,78.1,9.5,0.0,Evening,Tomato,Target Spot,Good
